Site,NomSite,Distance,Arbre,Poids,Surface,Largeur,Longueur,CircArbre,dispersion,log_disp
4,Gornies,6.3,9,22.4,0.78692,0.42365,2.5337,25,0.035130357142857144,-3.348689646435066
4,Gornies,6.3,9,27.2,0.90666,0.4796,2.72724,25,0.03333308823529412,-3.401204734630365
4,Gornies,6.3,9,27.2,0.80352,0.45578,2.46229,25,0.029541176470588237,-3.5219701763148685
4,Gornies,6.3,9,27.3,0.87169,0.47704,2.55843,25,0.03193003663003663,-3.4442081250579637
4,Gornies,6.3,9,30.1,0.90101,0.45366,2.75014,25,0.029933887043189368,-3.508764094411086
4,Gornies,6.3,9,27.4,0.82825,0.45783,2.49438,25,0.030228102189781024,-3.4989832511961563
4,Gornies,6.3,9,26.2,0.79858,0.43497,2.61028,25,0.030480152671755724,-3.490679539260366
4,Gornies,6.3,9,21.3,0.66578,0.41364,2.27,25,0.031257276995305165,-3.465503066058539
4,Gornies,6.3,9,29.3,0.80776,0.46351,2.43401,25,0.02756860068259386,-3.591077810309093
4,Gornies,6.3,9,29.1,0.78798,0.47502,2.37423,25,0.027078350515463916,-3.6090207443344604
4,Gornies,6.3,9,23.1,0.76714,0.42298,2.53028,25,0.03320952380952381,-3.4049185824640094
4,Gornies,6.3,10,45.9,0.94361,0.49612,2.54654,28.5,0.020557952069716775,-3.8845074508603776
4,Gornies,6.3,10,28,0.84224,0.45004,2.60257,28.5,0.03008,-3.503894779900498
4,Gornies,6.3,10,25.1,0.85843,0.46659,2.54564,28.5,0.0342003984063745,-3.3755179856722344
4,Gornies,6.3,10,27.5,0.83168,0.4533,2.59626,28.5,0.03024290909090909,-3.4984935322015374
4,Gornies,6.3,10,26.4,0.84576,0.44463,2.62153,28.5,0.032036363636363634,-3.440883657718483
4,Gornies,6.3,10,49.2,1.13859,0.50168,2.95683,28.5,0.023142073170731706,-3.766102968717602
4,Gornies,6.3,10,55.2,1.13613,0.57214,2.51066,28.5,0.020582065217391306,-3.8833352029117423
4,Gornies,6.3,10,29.6,0.79332,0.46094,2.32068,28.5,0.026801351351351352,-3.6193029691786647
4,Gornies,6.3,10,27.2,0.91052,0.53718,2.48625,28.5,0.033475,-3.396956387404901
4,Gornies,6.3,10,29.8,0.83907,0.49205,2.42615,28.5,0.028156711409395973,-3.5699695368486744
4,Gornies,6.3,10,28.4,1.0045,0.52376,2.71678,28.5,0.035369718309859154,-3.341899239894308
4,Gornies,6.3,10,32.7,0.83731,0.4565,2.58621,28.5,0.025605810397553514,-3.6649359845956746
4,Gornies,6.3,10,30.5,0.85104,0.47155,2.58303,28.5,0.02790295081967213,-3.5790228316014954
4,Gornies,6.3,10,33.9,0.91756,0.4892,2.57628,28.5,0.02706666666666667,-3.6094523204826143
4,Gornies,6.3,10,52.2,1.09601,0.53328,2.79883,28.5,0.0209963601532567,-3.8634061823168024
4,Gornies,6.3,10,30.6,0.89468,0.42639,2.8471,28.5,0.029237908496732027,-3.5322891754984025
4,Gornies,6.3,10,43.7,0.98091,0.49274,2.73211,28.5,0.02244645308924485,-3.796622668846242
4,Gornies,6.3,10,37.2,0.98162,0.47918,2.76344,28.5,0.02638763440860215,-3.6348597721739764
4,Gornies,6.3,10,58.7,1.27304,0.59824,2.8142,28.5,0.021687223168654172,-3.8310319859142594
4,Gornies,6.3,10,24.7,0.94959,0.47289,2.727,28.5,0.038444939271255064,-3.2585282101258484
4,Gornies,6.3,11,32.3,0.73038,0.37314,2.49423,28,0.022612383900928797,-3.789257562561188
4,Gornies,6.3,11,28.2,0.73499,0.43645,2.22633,28,0.026063475177304965,-3.6472203632481
4,Gornies,6.3,11,29.7,0.64646,0.38465,2.1709,28,0.02176632996632997,-3.8273910001094023
4,Gornies,6.3,11,25.9,0.74698,0.42302,2.38337,28,0.02884092664092664,-3.5459598366749487
4,Gornies,6.3,11,32.1,0.69718,0.38753,2.30947,28,0.0217190031152648,-3.829567682056962
4,Gornies,6.3,11,30.5,0.58929,0.35875,2.06928,28,0.019320983606557377,-3.9465635401812085
4,Gornies,6.3,11,23.9,0.55885,0.35683,2.16166,28,0.02338284518828452,-3.7557526370879817
4,Gornies,6.3,11,22.9,0.59205,0.37218,2.20785,28,0.025853711790393013,-3.6553010987653654
4,Gornies,6.3,11,29.3,0.64001,0.3741,2.29099,28,0.02184334470989761,-3.82385899377351
4,Gornies,6.3,11,38.9,0.69718,0.39137,2.2448,28,0.01792236503856041,-4.021705902545392
